ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,AMIN,VOL,POHM,PNBI,DWDIA,DWMHD,PICRH,PECRH,PL,PFLOSS,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL,IP_error,BT_error,NEL_error,PLTH_error,POHM_error,PNBI_error,DWDIA_error,DWMHD_error,PICRH_error,PECRH_error,PL_error,PFLOSS_error,RGEO_error,AMIN_error,EPS_error,VOL_error,KAREA_error,MEFF_error
12405,HDULEH,HGELM,ASDEX,0.2959,2.205,3.7889999999999997,1.8699999999999999,1.694,0.9748,0.24208972845336485,1.5,0.051,19820622,5980,1.205,4.563,0.0,0.4101,5.482,68660.0,2.599e6,212000.0,212000.0,0.0,0.0,2.456e6,585700.0,1086.98671599628,15.406716623563081,3.606992116130868,0.07497,0.00643016144138506,0.601125076774512,0.22302982978640973,1.47,"(0.292941, 0.298859)","(2.18295, 2.22705)","(3.6753299999999998, 3.9026699999999996)","(1.8138999999999998, 1.9261)","(34330.0, 102990.0)","(2.3391e6, 2.8589e6)","(169600.0, 254400.0)","(169600.0, 254400.0)","(0.0, 0.0)","(0.0, 0.0)","(2.20383e6, 2.70749e6)","(409990.0, 761410.0)","(1.67706, 1.71094)","(0.40394850000000004, 0.4162515)","(0.23609740844214294, 0.24820310543451038)","(5.31754, 5.64646)","(0.9087294891707897, 1.0453119485987046)","(1.35, 1.65)"
12406,NAC6N1,HGELM,ASDEX,0.29519999999999996,2.205,3.734,2.024,1.684,0.9724,0.24423990498812354,1.5,0.04902,19820622,5980,1.224,4.671,0.0,0.4113,5.468,22960.0,2.598e6,0.0,0.0,0.0,0.0,2.621e6,596700.0,1150.57852090773,15.4708831572927,3.647604401636569,0.0720594,0.006596277981475215,0.6270563635865279,0.1954179495318936,1.47,"(0.29224799999999995, 0.298152)","(2.18295, 2.22705)","(3.62198, 3.8460199999999998)","(1.9632800000000001, 2.08472)","(11480.0, 34440.0)","(2.3382e6, 2.8578e6)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.34968e6, 2.89224e6)","(417690.0, 775710.0)","(1.66716, 1.70084)","(0.4051305, 0.4174695)","(0.2381943627854472, 0.2504075793565105)","(5.30396, 5.63204)","(0.9064785558505044, 1.042722698966958)","(1.35, 1.65)"
12411,U2T1C7,HSELM,ASDEX,0.2971,2.205,3.4099999999999997,1.132,1.693,0.9895,0.238806851742469,1.5,0.06375,19820622,5982,1.188,4.275,0.0,0.4043,5.405,0.0,2.59e6,815400.0,942200.0,0.0,0.0,1.69e6,558000.0,927.00637009697,15.300207314957419,3.5443109155289627,0.0937125,0.006023336771371074,0.46137398324526635,0.2747182587613873,1.47,"(0.294129, 0.300071)","(2.18295, 2.22705)","(3.3076999999999996, 3.5122999999999998)","(1.09804, 1.1659599999999999)","(0.0, 0.0)","(2.331e6, 2.849e6)","(652320.0, 978480.0)","(753760.0, 1.13064e6)","(0.0, 0.0)","(0.0, 0.0)","(1.6110533333333333e6, 1.76908e6)","(390600.0, 725400.0)","(1.6760700000000002, 1.70993)","(0.3982355, 0.41036449999999997)","(0.23289579105577424, 0.2448373277965717)","(5.242850000000001, 5.56715)","(0.9224010580433655, 1.0610383605495637)","(1.35, 1.65)"
12412,422XQB,HGELM,ASDEX,0.2959,2.205,3.775,1.376,1.693,0.9744,0.2423508564678086,1.5,0.06991,19820622,5982,1.216,4.574,0.0,0.4103,5.482,31630.0,2.599e6,683900.0,662500.0,0.0,0.0,1.961e6,584900.0,1100.51299555299,15.420934541647128,3.6112242343749332,0.1027677,0.00646689185748488,0.6063566361089237,0.21675271554905096,1.47,"(0.292941, 0.298859)","(2.18295, 2.22705)","(3.66175, 3.8882499999999998)","(1.33472, 1.4172799999999999)","(15815.0, 47445.0)","(2.3391e6, 2.8589e6)","(547120.0, 820680.0)","(530000.0, 795000.0)","(0.0, 0.0)","(0.0, 0.0)","(1.8192083333333333e6, 2.102785e6)","(409430.0, 760370.0)","(1.6760700000000002, 1.70993)","(0.4041455, 0.4164545)","(0.23635207289187277, 0.24847082759073305)","(5.31754, 5.64646)","(0.9083800217459707, 1.044909956059492)","(1.35, 1.65)"
12413,WZ9FED,HGELM,ASDEX,0.29419999999999996,2.204,3.847,2.033,1.685,0.9691,0.24492581602373886,1.5,0.05151,19820622,5982,1.244,4.758,0.0,0.4127,5.49,37030.0,2.6e6,0.0,0.0,0.0,0.0,2.637e6,604000.0,1173.62199855691,15.475806182607364,3.668908605496688,0.07568536000000001,0.006642417716611197,0.6595693085310793,0.19399324636618692,1.4693333333333334,"(0.29125799999999996, 0.29714199999999996)","(2.18196, 2.2260400000000002)","(3.73159, 3.9624099999999998)","(1.9720099999999998, 2.09399)","(18515.0, 55545.0)","(2.34e6, 2.86e6)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.358515e6, 2.915545e6)","(422800.0, 785200.0)","(1.66815, 1.70185)","(0.4065095, 0.4188905)","(0.23886329582513147, 0.25111081137787367)","(5.3253, 5.6547)","(0.9034248586052129, 1.03921002962372)","(1.35, 1.65)"
12418,XTJJ2Y,HSELM,ASDEX,0.2969,2.202,3.363,1.3299999999999998,1.687,0.9942,0.23847065797273265,1.5,0.04856,19820622,5996,1.183,4.216,0.0,0.4023,5.358,38410.0,2.588e6,685900.0,765200.0,0.0,0.0,1.888e6,558100.0,848.222982815257,15.218329859609621,3.537677307419574,0.07128608,0.005798234720570045,0.417479798227668,0.32080219779219193,1.468,"(0.293931, 0.299869)","(2.17998, 2.22402)","(3.26211, 3.46389)","(1.2900999999999998, 1.3699)","(19205.0, 57615.0)","(2.3292e6, 2.8468e6)","(548720.0, 823080.0)","(612160.0, 918240.0)","(0.0, 0.0)","(0.0, 0.0)","(1.7573916666666667e6, 2.017895e6)","(390670.0, 725530.0)","(1.6701300000000001, 1.70387)","(0.3962655, 0.4083345)","(0.23256791891400166, 0.2444926442851754)","(5.19726, 5.518739999999999)","(0.9267788121587361, 1.0660740931183394)","(1.35, 1.65)"
12419,0AQACB,HGELM,ASDEX,0.2963,2.204,3.4179999999999997,1.6709999999999998,1.685,0.9863,0.24071216617210683,1.5,0.04612,19820622,5996,1.209,4.373,0.0,0.4056,5.397,7051.0,2.59e6,410700.0,327100.0,0.0,0.0,2.242e6,571500.0,988.707635596503,15.363473902720813,3.5810780214898115,0.06776565333333334,0.006203439187578163,0.49368502897714506,0.2415321837697824,1.4693333333333334,"(0.293337, 0.299263)","(2.18196, 2.2260400000000002)","(3.31546, 3.5205399999999996)","(1.6208699999999998, 1.7211299999999998)","(3525.5, 10576.5)","(2.331e6, 2.849e6)","(328560.0, 492840.0)","(261680.0, 392520.0)","(0.0, 0.0)","(0.0, 0.0)","(2.0505521666666667e6, 2.4336165e6)","(400050.0, 742950.0)","(1.66815, 1.70185)","(0.39951600000000004, 0.411684)","(0.2347539442371537, 0.246790756226958)","(5.2350900000000005, 5.55891)","(0.9194860720676423, 1.0576852508433943)","(1.35, 1.65)"
12420,9WV00D,HGELM,ASDEX,0.2949,2.204,3.445,2.032,1.682,0.984,0.24161712247324613,1.5,0.04053,19820622,5996,1.234,4.439,0.0,0.4064,5.396,17020.0,2.591e6,0.0,0.0,0.0,0.0,2.608e6,575900.0,1048.89317898255,15.418631843023189,3.6108608512909606,0.05955208,0.006376883204435423,0.5278742754297147,0.21727031661110346,1.4693333333333334,"(0.291951, 0.297849)","(2.18196, 2.2260400000000002)","(3.34165, 3.5483499999999997)","(1.9710400000000001, 2.09296)","(8510.0, 25530.0)","(2.3319e6, 2.8501e6)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.34041e6, 2.87563e6)","(403130.0, 748670.0)","(1.6651799999999999, 1.69882)","(0.400304, 0.412496)","(0.23563650062984895, 0.24771856495994427)","(5.23412, 5.55788)","(0.9173331455032725, 1.0552087384279727)","(1.35, 1.65)"
12425,QXXYOT,HSELM,ASDEX,0.2969,2.205,3.378,1.5719999999999998,1.689,0.9941,0.23818827708703375,1.5,0.04232,19820622,6002,1.183,4.213,0.0,0.4023,5.364,40010.0,2.589e6,441700.0,517100.0,0.0,0.0,2.137e6,565300.0,869.120345568822,15.240442717234426,3.5383022449705543,0.062210400000000006,0.005861239308520059,0.42850467602023706,0.30833588363734293,1.47,"(0.293931, 0.299869)","(2.18295, 2.22705)","(3.27666, 3.47934)","(1.5248399999999998, 1.61916)","(20005.0, 60015.0)","(2.3301e6, 2.8479e6)","(353360.0, 530040.0)","(413680.0, 620520.0)","(0.0, 0.0)","(0.0, 0.0)","(1.9565316666666667e6, 2.317555e6)","(395710.0, 734890.0)","(1.67211, 1.7058900000000001)","(0.3962655, 0.4083345)","(0.23229252765418634, 0.24420313256902954)","(5.20308, 5.52492)","(0.9267179804266312, 1.0660041183489712)","(1.35, 1.65)"
12427,E8PDBN,HGELM,ASDEX,0.2969,2.204,3.558,2.029,1.689,0.9818,0.24114860864416815,1.5,0.04232,19820622,6002,1.214,4.429,0.0,0.4073,5.43,9616.0,2.594e6,0.0,0.0,0.0,0.0,2.604e6,574500.0,1052.23266582075,15.405673262780628,3.579367381282615,0.062182186666666674,0.006372913317525358,0.5469249486199546,0.22241010923545357,1.4693333333333334,"(0.293931, 0.299869)","(2.18196, 2.2260400000000002)","(3.45126, 3.6647399999999997)","(1.96813, 2.08987)","(4808.0, 14424.0)","(2.3346e6, 2.8534e6)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.339408e6, 2.867824e6)","(402150.0, 746850.0)","(1.67211, 1.7058900000000001)","(0.4011905, 0.4134095)","(0.23517958367772832, 0.24723821997356632)","(5.2671, 5.592899999999999)","(0.9152292571677514, 1.0527886347097095)","(1.35, 1.65)"
