ind,id,TOK,TOK_ID,DIVNAME,LCUPDATE,DATE,SHOT,TIME,TIME_ID,T1,T2,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE,ELMFREQ,ELMMAX,ELMDUR,ELMINT,OLTIME,LHTIME,TPI,ISEQ,MEFF,PGASA,PGASZ,BGASA,BGASZ,BGASA2,BGASZ2,PELLET,FUELRATE,XGASZ,XGASA,CONFIG,RGEO,RMAG,AMIN,KAPPA,KAPPAA,KAREA,DELTA,DELTAU,DELTAL,INDENT,AREA,VOL,SURFFORM,SEPLIM,XPLIM,WALMAT,DIVMAT,LIMMAT,EVAP,DALFMP,DALFDV,IGRADB,BT,IEML,PREMAG,IP,VSURF,Q95,SH95,BEILI2,BEIMHD,BEPMHD,BETMHD,BEPDIA,BMHDMDIA,TAUCR,FBS,RHOQ2,RHOINV,NEL,NELFORM,DNELDT,NEV,NE0,NE0TSC,ZEFF,ZEFFNEO,PRAD,POHM,ENBI,PINJ,BSOURCE,PINJ2,BSOURCE2,COCTR,PNBI,PFLOSS,ECHFREQ,ECHMODE,ECHLOC,PECRHC,PECRH,ICFREQ,ICSCHEME,ICANTEN,PICRHC,PICRH,PALPHA,DWDIA,DWDIAPAR,DWMHD,DWHC,TEV,TE0,TE0TSC,TIV,TI0,TICX0,WDIA,WMHD,WKIN,WEKIN,WIKIN,WROT,WFPER,WFPAR,WFFORM,WFANI,WFICRH,WFICRHP,WFICFORM,ICFORM,WFANIIC,TAUDIA,TAUMHD,TAUTH1,TAUTH2,WTOT,WTH,PL,PLTH,TAUTOT],TAUTH,TAUC92,TAUC93,H89,HITER96L,H93,HITER92Y,HEPS97,HIPB98Y,HIPB98Y1,HIPB98Y2,HIPB98Y3,HIPB98Y4,OMGAIMP0,OMGAIMPH,OMGAM0,OMGAMH,SPIN,TORQ,TORQBM,TORQIN,VTOR0,VTORV,VTORIMP,STANDARD,SELDB1,SELDB2,SELDB2X,IAEA92,DB2P5,DB2P8,DB3IS,DB3V5,IAE2000N,IAE2000X,HMWS2003,IAE2004S,IAE2004I,DB3DONLY,HMWS2005,OJK2006,SELDB3,SELDB3X,SELDB4,AAREA,STDDB4V5,NEGW,NEL/NEGW,NUSTAREAV,QCYL,NUSTARECYL,RHOSTAR,BETATHT,TI0/TE0,BETAN,NESEP,NESOL,PMAIN,PDIV,GP_MAIN,GP_DIV,SELDB5,STD3,TAV,BETATHTP,BETATHNP,NUSTARAVP,NUSTARAVPNOQ,RHOSTARAVP,TE0/TAV,NEO/NAV,H98y2 calc,ABS IP,EPSILON,LTAUTH,LIP,LBT,LNEL,LKAPPA,L(1+DELTA),LRGEO,LEPSILON,LMEFF,LPLTH,LTAUTH/NEL^0.2,LBTAUTH,LNUSTAR,LNUSTARNOQ,LRHOSTAR,LQ95,LBETATH,database_index,EPS,LCOULOMB,OMEGACYCL,QCYL5,TAUBOHM,BETASTAR,NUSTAR,Hugill,qeng,PSTAR,akB,ng,nnorm,RkB
12405,HDULEH,ASDEX,1,DV-IPRE,19940125,19820622,5980,1.205,1205,1.203,1.207,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.166,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.694,1.803,0.4101,0.9752,0.97509162766709,0.9748,0.0,0.0,0.0,0.0,0.5152,5.482,27.0880799647861,0.1564,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2959,0.232,4.563,,2.649,2.019,2.019,0.009265,1.667,0.4481,5.42305623275862,,,0.2771211118572,3.7889999999999997,0,-1.959e19,3.017e19,5.1e19,,0.0,,0.0,68660.0,42000.0,2.62e6,404020,0.0,0,1.0,2.599e6,585700.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,212000.0,620500.0,212000.0,1,,,,,,,116400.0,141100.0,,,,,,,24260.0,0.578,0.0,0.0,0.0,0,0.0,0.04746,0.05753,,0.051,119600.0,95370.0,2.456,1.8699999999999999,0.04871,0.051,0.6667,0.6667,1.612,1.413,0.9272,1.103,1.126,1.15,1.119,1.132,1.13,1.011,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.600359686447,0.67656368735913,,3.60853055654344,,0.00643016144138506,0.00298897673557852,,2.83138431311254,,,,,,,1,1,1086.98671599628,0.00572500073118583,1.74956041692794,0.524442069440078,0.114933611536287,0.00456101926971519,,1.69042094796155,2.04951646612187,295900.0,0.242089728453365,-2.97592964625781,12.5977768383883,0.790727508898809,45.0812188989233,-0.0251127008150753,0.0,0.527092596229863,-1.41844684281399,0.405465108108164,14.4414489888308,-11.9921734260425,-2.185202137359,-0.64542030635903,-2.1634006083043,-5.39020915637327,1.51798030194527,-5.16291260182379,2,0.24208972845336485,15.406716623563081,1.47,3.606992116130868,0.07497,0.601125076774512,0.22302982978640973,10.76785461118621,3.605913347052975,0.3411163808828894,0.8814828834,5.600354956025538,0.6765642588285116,3.641141196
12406,NAC6N1,ASDEX,1,DV-IPRE,19940125,19820622,5980,1.224,1224,1.222,1.226,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.166,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.684,1.797,0.4113,0.9724,0.972232543862132,0.9724,0.0,0.0,0.0,0.0,0.5167,5.468,26.9691989073458,0.1643,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.29519999999999996,0.07778,4.671,,2.72,2.09,2.09,0.00954,1.751,0.4348,16.0422109539727,,,0.273998002789945,3.734,0,-4.468e19,2.94e19,5.2e19,,0.0,,0.0,22960.0,42000.0,2.62e6,404020,0.0,0,1.0,2.598e6,596700.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,-485.4,0.0,1,,,,,,,121100.0,144500.0,,,,,,,25220.0,0.5782,0.0,0.0,0.0,0,0.0,0.04628,0.05522,,0.04902,124400.0,99230.0,2.621,2.024,0.04748,0.04902,0.6667,0.6667,1.641,1.47,0.9572,1.139,1.165,1.185,1.152,1.169,1.167,1.044,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.55455700615338,0.672240827821813,,3.64966163920045,,0.006596277981475215,0.00311914758550522,,2.93088868902439,,,,,,,1,1,1150.57852090773,0.00597196536749074,1.83471339065241,0.464240958596195,0.099387916633739,0.00467884846378383,,1.7687074829932,2.09494506202089,295200.0,0.244239904988124,-3.01552690088217,12.5954083717085,0.790727508898809,45.0665968120064,-0.0279880365401687,0.0,0.521171915820135,-1.40960431956589,0.405465108108164,14.5205863093895,-12.0288462632835,-2.22479939198336,-0.767351554229878,-2.30872473574985,-5.36470325407606,1.54137318151997,-5.12067919846957,2,0.24423990498812354,15.4708831572927,1.47,3.647604401636569,0.0720594,0.6270563635865279,0.1954179495318936,10.699054106707319,3.6482326605335014,0.3701536210680322,0.8818856046000001,5.554552314419793,0.6722413956398283,3.610735128
12411,U2T1C7,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.188,1188,1.186,1.19,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.693,1.787,0.4043,0.9895,0.989248365465662,0.9895,0.0,0.0,0.0,0.0,0.508,5.405,26.8806912337582,0.1623,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2971,-0.05525,4.275,,2.289,1.66,1.66,0.007679,1.313,0.4427,22.8507810497738,,,0.282054827131941,3.4099999999999997,0,1.926e20,2.83e19,4.5e19,,0.0,,0.0,0.0,42000.0,2.62e6,404020,0.0,0,1.0,2.59e6,558000.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,815400.0,1.187e6,942200.0,1,,,,,,,92490.0,117000.0,,,,,,,23670.0,0.5724,0.0,0.0,0.0,0,0.0,0.0523,0.07126,,0.06375,95840.0,72170.0,1.69,1.132,0.05671,0.06375,0.6667,0.6667,1.564,1.261,0.8309,1.016,1.04,1.084,1.051,1.039,1.037,0.9231,,,,,,,,,,,,0,1,1111101111,1111011111,0,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.78556348250992,0.58939807856376,,3.54540998347181,,0.006023336771371074,0.00229495331469473,,2.30416911427129,,,,,,,1,1,927.00637009697,0.0043940379356692,1.3184798148594,0.617942541430834,0.144547962907797,0.00427245184007231,,1.59010600706714,2.05376603402008,297100.0,0.238806851742469,-2.7527860949436,12.6018240614507,0.790727508898809,44.9758290581823,-0.0105555139395166,0.0,0.526502103150998,-1.43210020548641,0.405465108108164,13.9394965377453,-11.7479519065801,-1.96205858604479,-0.481359800877906,-1.93414390326663,-5.45556741511007,1.45278410238872,-5.42750667154101,2,0.238806851742469,15.300207314957419,1.47,3.5443109155289627,0.0937125,0.46137398324526635,0.2747182587613873,9.380569688657017,3.5452124798457842,0.20943570767807582,0.8821209442500001,5.785558595653502,0.5893985764074396,3.6938678175000006
12412,422XQB,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.216,1216,1.214,1.218,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.693,1.802,0.4103,0.9748,0.974708486652552,0.9744,0.0,0.0,0.0,0.0,0.5155,5.482,27.0798772584007,0.157,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2959,0.1069,4.574,,2.658,2.028,2.028,0.00931,1.681,0.4425,11.76245404116,,,0.276798244668192,3.775,0,6.995e19,3.082e19,4.9e19,,0.0,,0.0,31630.0,42000.0,2.62e6,404020,0.0,0,1.0,2.599e6,584900.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,683900.0,659500.0,662500.0,1,,,,,,,117400.0,141600.0,,,,,,,24490.0,0.5772,0.0,0.0,0.0,0,0.0,0.0604,0.07206,,0.0699,120700.0,96200.0,1.9609999999999999,1.376,0.06154,0.06991,0.6667,0.6667,1.821,1.553,1.037,1.242,1.264,1.303,1.26,1.259,1.257,1.121,,,,,,,,,,,,1,111,1111111111,1111011111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.59490124653103,0.674721471150288,,3.61273967325456,,0.00646689185748488,0.00301506687109508,,2.84652384758364,,,,,,,1,1,1100.51299555299,0.00577482510579927,1.7656474091603,0.510089282007381,0.111519300832396,0.00458707275797411,,1.58987670343933,2.4110394907781,295900.0,0.242350856467809,-2.66054657845824,12.5977768383883,0.790727508898809,45.0775171495879,-0.0255229572310859,0.0,0.526502103150998,-1.41736878268499,0.405465108108164,14.1346912974754,-11.6760500083758,-1.86981906955943,-0.673169505825892,-2.19355760142648,-5.38451320171524,1.52038809560059,-5.15424730774295,2,0.2423508564678086,15.420934541647128,1.47,3.6112242343749332,0.1027677,0.6063566361089237,0.21675271554905096,10.738534804832714,3.610081313705901,0.25100328347318496,0.8815508856000002,5.5948965207201224,0.6747220410636151,3.6374985360000003
12413,WZ9FED,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.244,1244,1.242,1.246,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.685,1.802,0.4127,0.969,0.969011507858413,0.9691,0.0,0.0,0.0,0.0,0.5185,5.49,27.0310956867688,0.1619,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.29419999999999996,0.1259,4.758,,2.809,2.178,2.178,0.009887,1.842,0.4313,9.8830402700556,,,0.272428765972947,3.847,0,-3.992e19,2.993e19,5.4e19,,0.0,,0.0,37030.0,42000.0,2.62e6,404020,0.0,0,1.0,2.6e6,604000.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,140300.0,0.0,1,,,,,,,126600.0,149700.0,,,,,,,25150.0,0.58,0.0,0.0,0.0,0,0.0,0.04806,0.05683,,0.05151,129900.0,104700.0,2.637,2.033,0.04925,0.05151,0.6667,0.6667,1.707,1.538,1.009,1.194,1.218,1.238,1.202,1.221,1.219,1.09,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.49824673212489,0.699677585860769,,3.67068432156427,,0.006642417716611197,0.0032812963711179,,3.05680633569001,,,,,,,1,1,1173.62199855691,0.00628161246220075,1.94211315594261,0.466644169443283,0.0980756976551666,0.00471157613679377,,1.80420982292015,2.19050034922733,294200.0,0.244925816023739,-2.96597931540464,12.5920150871495,0.790273891290668,45.096410390657,-0.0314906670913708,0.0,0.521765563804325,-1.40679990602793,0.405465108108164,14.5250230926105,-11.985261393536,-2.17570542411397,-0.762188261544779,-2.32201567342555,-5.35773279067009,1.55982741188077,-5.07012856996269,2,0.24492581602373886,15.475806182607364,1.4693333333333334,3.668908605496688,0.07568536000000001,0.6595693085310793,0.19399324636618692,11.135724041978248,3.6692436578434915,0.3703096539162113,0.8814844442800001,5.498242087954548,0.699678176853642,3.5989854340000003
12418,XTJJ2Y,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.183,1183,1.181,1.185,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.687,1.775,0.4023,0.9942,0.994388542994193,0.9942,0.0,0.0,0.0,0.0,0.5056,5.358,26.7156290729013,0.171,,SS,TI2,NONE,NONE,,,,2.202,0.0,,0.2969,0.1294,4.216,,2.173,1.545,1.545,0.007146,1.205,0.3988,9.71549036321484,,,0.282720167771726,3.363,0,6.518e19,2.49e19,5.0e19,,0.0,,0.0,38410.0,42000.0,2.62e6,404020,0.0,0,1.0,2.588e6,558100.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,685900.0,685900.0,765200.0,0,,,,,,,84440.0,108200.0,,,,,,,23090.0,0.5739,0.0,0.0,0.0,0,0.0,0.04365,0.05832,,0.04856,87650.0,64560.0,1.888,1.3299999999999998,0.04644,0.04856,0.6667,0.6667,1.361,1.091,0.7098,0.8667,0.8898,0.9235,0.8997,0.8938,0.8927,0.7959,,,,,,,,,,,,0,101,1111111111,1111011111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.83929782782134,0.575925410753496,,3.5370663786795,,0.005798234720570045,0.00207660819150287,,2.13216181596497,,,,,,,1,1,848.222982815257,0.00397599807835874,1.18632399706502,0.714797935025253,0.169544102235591,0.00411278325309905,,2.00803212851406,1.70674290453602,296900.0,0.238470657972733,-3.02495513223089,12.6011506607519,0.789366038300488,44.961950199645,-0.00581688532156485,0.0,0.522951803563831,-1.43350900359023,0.405465108108164,14.1006895001979,-12.0173451721599,-2.23558909393041,-0.335755384585686,-1.77464219582475,-5.49365528912899,1.43888681123906,-5.5274794734981,2,0.23847065797273265,15.218329859609621,1.468,3.537677307419574,0.07128608,0.417479798227668,0.32080219779219193,9.16614533967666,3.537006539160297,0.24822695035460993,0.8807265853199999,5.839292895577464,0.5759258972172903,3.6932283108
12419,0AQACB,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.209,1209,1.207,1.211,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.685,1.783,0.4056,0.986,0.986206482002889,0.9863,0.0,0.0,0.0,0.0,0.5097,5.397,26.7927706965498,0.1689,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2963,0.02379,4.373,,2.377,1.748,1.748,0.008041,1.409,0.3979,52.6757631357713,,,0.27927624178516,3.4179999999999997,0,-2.783e19,2.721e19,4.7e19,,0.0,,0.0,7051.0,42000.0,2.62e6,404020,0.0,0,1.0,2.59e6,571500.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,410700.0,410700.0,327100.0,0,,,,,,,98250.0,121900.0,,,,,,,24650.0,0.5735,0.0,0.0,0.0,0,0.0,0.04506,0.05384,,0.04612,101700.0,77040.0,2.242,1.6709999999999998,0.04536,0.04612,0.6667,0.6667,1.453,1.228,0.7916,0.9588,0.9858,1.014,0.9885,0.9918,0.9904,0.8844,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.73305691114474,0.596191534982951,,3.58068410548605,,0.006203439187578163,0.00245660288687502,,2.42598408315896,,,,,,,1,1,988.707635596503,0.00470176218073472,1.41853006009964,0.548968624315593,0.125535930554675,0.00440020144610177,,1.72730613744947,1.82182263681341,296300.0,0.240712166172107,-3.07650858358128,12.5991277335617,0.790273891290668,44.9781723515803,-0.0140989243795016,0.0,0.521765563804325,-1.42415339050949,0.405465108108164,14.3289328075775,-12.0721430538973,-2.28623469229061,-0.599713989714886,-2.07516326214567,-5.42610495590099,1.47544927243078,-5.35981790846437,2,0.24071216617210683,15.363473902720813,1.4693333333333334,3.5810780214898115,0.06776565333333334,0.49368502897714506,0.2415321837697824,9.48869099696254,3.5814176007261875,0.30961645358532514,0.8816953891200001,5.733052068638735,0.5961920385648224,3.662861762
12420,9WV00D,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.234,1234,1.232,1.236,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.682,1.781,0.4064,0.9842,0.984062140488681,0.984,0.0,0.0,0.0,0.0,0.5106,5.396,26.7737155786357,0.1716,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2949,0.05771,4.439,,2.42,1.79,1.79,0.008158,1.509,0.3399,21.5736391959799,,,0.276868364232722,3.445,0,8.093e19,2.828e19,4.6e19,,0.0,,0.0,17020.0,42000.0,2.62e6,404020,0.0,0,1.0,2.591e6,575900.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,147600.0,0.0,1,,,,,,,104000.0,123400.0,,,,,,,25170.0,0.5732,0.0,0.0,0.0,0,0.0,0.03997,0.04742,,0.04053,107500.0,82360.0,2.608,2.032,0.04123,0.04053,0.6667,0.6667,1.433,1.252,0.7998,0.9629,0.9914,1.013,0.9905,1.002,1.0,0.8947,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.68352622338316,0.606137785698355,,3.61182471233676,,0.006376883204435423,0.00262537281413706,,2.47784546788742,,,,,,,1,1,1048.89317898255,0.00502737405171157,1.52697425954993,0.496301267798457,0.111804746068587,0.00452322813995916,,1.62659123055163,1.78479851350768,294900.0,0.241617122473246,-3.20571283834192,12.5943915948034,0.790273891290668,44.9860406713525,-0.0159261505502593,0.0,0.519983561550756,-1.42040094426862,0.405465108108164,14.5245310876805,-12.2029209726124,-2.41543894705125,-0.700572141891789,-2.19100126774369,-5.39852934979404,1.4904291258519,-5.29285748850366,2,0.24161712247324613,15.418631843023189,1.4693333333333334,3.6108608512909606,0.05955208,0.5278742754297147,0.21727031661110346,9.646990627331299,3.6106328365664577,0.3765752409191994,0.8813743104,5.683521422713931,0.606138297681472,3.647813952
12425,QXXYOT,ASDEX,1,DV-IPRE,19940125,19820622,6002,1.183,1183,1.181,1.185,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.689,1.777,0.4023,0.9942,0.994388542994193,0.9941,0.0,0.0,0.0,0.0,0.5056,5.364,26.7473014250921,0.1689,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2969,0.1347,4.213,,2.172,1.544,1.544,0.007132,1.24,0.3679,9.34428278396437,,,0.28267023352727,3.378,0,-8.624e19,2.544e19,4.9e19,,0.0,,0.0,40010.0,42000.0,2.62e6,404020,0.0,0,1.0,2.589e6,565300.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,441700.0,847400.0,517100.0,1,,,,,,,86990.0,108300.0,,,,,,,23750.0,0.5746,0.0,0.0,0.0,0,0.0,0.03988,0.05143,,0.04232,90270.0,66520.0,2.137,1.5719999999999998,0.04224,0.04232,0.6667,0.6667,1.314,1.069,0.6895,0.839,0.8623,0.8907,0.8707,0.871,0.87,0.7769,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.83929782782134,0.578494212763993,,3.53769120830873,,0.005861239308520059,0.00213130771163173,,2.13088377837656,,,,,,,1,1,869.120345568822,0.00408099691447845,1.21931157104135,0.685936988669848,0.16281438136004,0.00415747344359271,,1.92610062893082,1.61434565666123,296900.0,0.238188277087034,-3.16249549143209,12.6011506607519,0.790727508898809,44.9664005852725,-0.00581688532156485,0.0,0.524136637825663,-1.43469383785206,0.405465108108164,14.2678592519713,-12.1557756084866,-2.37176798253328,-0.376969508725971,-1.81514449172285,-5.48284773450804,1.43817498299688,-5.50141397862873,2,0.23818827708703375,15.240442717234426,1.47,3.5383022449705543,0.062210400000000006,0.42850467602023706,0.30833588363734293,9.207029127989223,3.5372755312867366,0.2930648769574944,0.88183777815,5.839292895577464,0.5784947013975636,3.7022719545
12427,E8PDBN,ASDEX,1,DV-IPRE,19940125,19820622,6002,1.214,1214,1.212,1.216,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.689,1.791,0.4073,0.9818,0.981828667565686,0.9818,0.0,0.0,0.0,0.0,0.5117,5.43,26.9123695531191,0.1637,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2969,0.03239,4.429,,2.481,1.852,1.852,0.008561,1.527,0.3893,38.8599842852732,,,0.279340013428535,3.558,0,-8.789e18,2.956e19,4.6e19,,0.0,,0.0,9616.0,42000.0,2.62e6,404020,0.0,0,1.0,2.594e6,574500.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,451000.0,0.0,1,,,,,,,107100.0,129900.0,,,,,,,24640.0,0.5743,0.0,0.0,0.0,0,0.0,0.04121,0.04999,,0.04232,110500.0,85870.0,2.604,2.029,0.04245,0.04232,0.6667,0.6667,1.455,1.273,0.8189,0.9825,1.009,1.03,1.007,1.019,1.018,0.9112,,,,,,,,,,,,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,,1,5.69681178991697,0.624559864571524,,3.5798666568613,,0.006372913317525358,0.00272051648553461,,2.58845309572247,,,,,,,1,1,1052.23266582075,0.00520880903447576,1.57490455207522,0.511560645707255,0.115502516529071,0.00452041223387958,,1.55615696887686,1.81599818664061,296900.0,0.241148608644168,-3.16249549143209,12.6011506607519,0.790273891290668,45.0183153561305,-0.0183676573581849,0.0,0.524136637825663,-1.42234190215343,0.405465108108164,14.523053618808,-12.1661585626582,-2.37222160014142,-0.670289136186102,-2.15846296112716,-5.39915208711091,1.48817382494106,-5.25740404157919,2,0.24114860864416815,15.405673262780628,1.4693333333333334,3.579367381282615,0.062182186666666674,0.5469249486199546,0.22241010923545357,9.940187366453351,3.5792628704316827,0.37366482504604054,0.88135125656,5.696806978025902,0.6245603921151184,3.6548054808000003
