TOK_added,DATE_added,SHOT_added,TIME_added,α0,αI,αB,αn,αP,αR,αk,αe,αM,id_added,ind
JET,19990218,47313,67.4601593017578,0.0495881,0.780553,0.319539,0.436011,-0.66889,2.22563,0.390639,0.577677,0.18063,QIAARD,1
JET,19990218,47314,66.4401702880859,0.0495693,0.780027,0.319506,0.436993,-0.669526,2.22801,0.390995,0.579344,0.180858,08PPHI,2
JET,19990218,47316,62.6865692138672,0.0494737,0.780742,0.320123,0.436803,-0.669079,2.22679,0.390342,0.577091,0.180029,WDT3SO,3
JET,19990301,47476,60.6465606689453,0.0495771,0.779737,0.319655,0.436862,-0.669058,2.22629,0.391136,0.579138,0.180359,VDFZE1,4
JET,19990301,47478,59.6265716552734,0.0495699,0.779555,0.319898,0.437232,-0.669468,2.22734,0.39155,0.579868,0.180413,6KJUY8,5
JET,19990301,47481,57.6273651123047,0.0495558,0.781068,0.32025,0.435375,-0.668301,2.22357,0.390258,0.575901,0.179896,BM9O1P,6
JET,19990301,47482,62.4009704589844,0.0495382,0.781147,0.319731,0.435359,-0.668006,2.22348,0.389751,0.575418,0.180019,NWDSW6,7
JET,19990301,47483,62.8905639648438,0.0496301,0.780832,0.320762,0.435129,-0.668812,2.2233,0.391436,0.576948,0.179993,256I8F,8
JET,19990301,47484,61.8705596923828,0.0496527,0.780755,0.321053,0.43507,-0.669068,2.22329,0.391953,0.577348,0.180028,0WBH1E,9
JET,19990301,47485,61.3809661865234,0.0496289,0.780901,0.320743,0.435052,-0.668799,2.22314,0.391432,0.576766,0.180042,3RU8L1,10
JET,19990302,47505,65.6241607666016,0.0496101,0.781367,0.319748,0.435171,-0.668394,2.22256,0.390132,0.57568,0.17997,I941E5,11
JET,19990302,47509,67.3785705566406,0.0495579,0.780703,0.320384,0.435588,-0.668483,2.22429,0.390702,0.576693,0.180028,0R258W,12
JET,19990303,47516,60.1161651611328,0.0495758,0.780861,0.320246,0.435443,-0.668462,2.22378,0.390604,0.576466,0.180019,C63YN6,13
JET,19990303,47517,58.6473693847656,0.0496286,0.780721,0.320526,0.435,-0.668544,2.22299,0.391341,0.5768,0.180101,63614J,14
JET,19990303,47519,58.8921661376953,0.0495584,0.780896,0.320155,0.435587,-0.668428,2.22403,0.390374,0.576358,0.179988,6E5E8Q,15
JET,19990303,47520,58.3617706298828,0.0495598,0.780882,0.320164,0.435587,-0.668437,2.22403,0.390401,0.576395,0.179994,HVOKCC,16
JET,19990303,47521,58.3617706298828,0.0495396,0.780919,0.320058,0.435763,-0.6684,2.22433,0.390127,0.576286,0.179959,1L0VYO,17
JET,19990303,47522,59.136962890625,0.0496691,0.780327,0.320916,0.435033,-0.668979,2.22328,0.392426,0.577899,0.180187,NFMAR5,18
JET,19990303,47524,58.6473693847656,0.0497034,0.780559,0.320942,0.434452,-0.668765,2.22213,0.392396,0.577367,0.180192,VDPSLK,19
JET,19990303,47530,58.6473693847656,0.0496247,0.780775,0.320502,0.435022,-0.668548,2.22306,0.39127,0.576719,0.180065,0KJ0YV,20
JET,19990304,47536,60.1161651611328,0.0495229,0.781055,0.319921,0.435802,-0.668293,2.22433,0.38979,0.575926,0.179908,XTRMNG,21
JET,19990304,47538,59.6265716552734,0.0495475,0.780961,0.320074,0.435629,-0.668371,2.22407,0.390177,0.576178,0.179974,QZV4QK,22
JET,19990304,47540,59.5857696533203,0.0496537,0.780925,0.320581,0.434604,-0.668502,2.2223,0.391429,0.576443,0.180113,NRCCLS,23
JET,19990304,47541,59.8713684082031,0.0495481,0.780983,0.32006,0.43559,-0.66833,2.22397,0.390132,0.576103,0.179961,MQOYAG,24
JET,19990304,47542,59.8713684082031,0.0495924,0.780845,0.320329,0.435294,-0.66849,2.22353,0.390816,0.57653,0.180036,D8KB4E,25
JET,19990304,47543,60.1161651611328,0.0495567,0.780879,0.320165,0.435617,-0.668439,2.22411,0.390381,0.576405,0.179986,217QBR,26
JET,19990304,47545,59.8713684082031,0.0496092,0.780882,0.320363,0.435078,-0.66846,2.22305,0.390964,0.576417,0.180043,FUFDYB,27
JET,19990304,47548,62.1153717041016,0.0496027,0.780796,0.320386,0.435234,-0.668486,2.22345,0.390898,0.576667,0.180048,X461K5,28
